93C386E54C75872553324B90482EE4BA	0 / min	0 / 분
1626AB36422A967B73B0A8BA8AB81D90	0 Sec	0초
6176B1314D96421051FE049302252B60	A Apple Seed To plant and grow Apples	사과를 심고 재배할 수 있는 사과 씨앗
AC571A774D906C8E72FCE597B949835E	A Banana Seed To plant and grow Bananas	바나나를 심고 재배할 수 있는 바나나 씨앗
E559998A468807F5E873A1B38BC317F7	A Carrot Seed To plant and grow Carrots	당근을 심고 재배할 수 있는 당근 씨앗
700F99A84931189104DD81BE09AED93E	A Corn Seed To plant and grow Corn	옥수수를 심고 재배하는 옥수수 씨앗
6CF7AD4A41F33DC3721F90A0A0FF369E	A Cotton Seed To plant and grow Cotton	목화를 심고 재배하는 목화씨
6B779D3B4715B3F98C36E69343BF399A	A Flower Seed To plant and grow Flowers	꽃을 심고 재배할 수 있는 꽃씨
89EB85A24F1DE3CE5F5AF19F1C68F634	A Mycelia Seed To plant and grow Mycelia	균사체를 심고 재배할 수 있는 균사체 씨앗
9910AF834369DF3F0E9A9DBC6BC73459	A Potato Seed To plant and grow Potatoes	감자를 심고 재배할 수 있는 감자 씨앗
014342964AAB00D5A3E78DB81D074048	A Pumpkin Seed To plant and grow Pumpkins	호박을 심고 재배할 수 있는 호박씨
B255351D4671FD115D2B59A6AC00E0DD	A Strawberry Seed To plant and grow Strawberries	딸기를 심고 재배하는 딸기 씨앗
1969EFB4495621CC1529448B02E522C4	A Tomato Seed To plant and grow Tomatoes	토마토를 심고 재배할 수 있는 토마토 씨앗
D28B8BEB4654DEB976D37788CB3A8716	A Wheat Seed To plant and grow Wheat	밀을 심고 재배할 수 있는 밀 씨앗
54963BE9447620CD89E47CBA08B340B5	A Yosse Seed To plant and grow Yosse Berries	요세 열매를 심고 재배하는 요세 씨앗
DD9FE5974BD1DDFE764ED9BD0560388B	A minion's favorite food	미니언이 좋아하는 음식
ADBBA3DC43636B886D1332BC74C5340A	A weird looking berry?	이상하게 생긴 베리?
28C927A444700DF907A6B7AA8EA7E270	An Aubergine Seed To plant and grow Aubergines	가지를 심고 재배할 수 있는 가지 씨앗
312F95704884B121A62CB1B4469926FD	Apple	사과
909DDE6243E214F3AC216FB5D6B3C7AB	Apple	사과
4B5AE77844D7A55A4A8B3C9B2C3AC4FA	Apple Pie	사과 파이
1714062B482E365F1123928FA2FD1F65	Apple Pie	사과 파이
8F0D5E7F42B93F2BDE3D759CFF010DDE	Apple Seed	사과 씨앗
7B466EB64AEB3AFA1C9D87B274ED191B	Apprentice Farmer - Buildings	견습 농부 - 건물
14D994E34D044C4E5A8B67A98D85316B	Apprentice Farmer - Buildings	견습 농부 - 건물
03DF32C74A7BF04804DF4BAC25771E95	Apprentice Farmer - Crops	견습 농부 - 농작물
40F8AE944B1108E2792AA7A6EF2A6E18	Aubergine Seed	오베르진 씨앗
6C9152FF4A7C1F3A841FA3B5FF6D060F	Banana	바나나
AD35D4464A197D87503AFBB17A0C48B5	Banana	바나나
EEA9A0DC4AE5E6E5FEE624BAA2242710	Banana Bread	바나나 빵
61EE083F4D607D59A5BE08BDBBB7FD34	Banana Bread	바나나 빵
9AA686B74A82F4D599677B9F3007DCA4	Banana Pie	바나나 파이
37BD779849D72BCA062895A7054F0F71	Banana Pie	바나나 파이
611EE29D4AA9EAF876E47B86A2D04ABF	Banana Seed	바나나 씨앗
DB98E32746CF86D92797BE9C57B09E53	Basic Farmer - Buildings	기본 농부 - 건물
1360EBF34BE397CFC6AEC5893381A2AB	Basic Farmer - Buildings	기본 농부 - 건물
003E1BCE4CB05F1FCFD810B80DC6E80A	Basic Farmer - Crops	기본 농부 - 농작물
D0343D794F728FD1CD687B991ACF43FA	Basic Farmer - Crops	기본 농부 - 농작물
910395954019104779767D9A8879E6DC	Berry Pie	베리 파이
8A1D6BED4C1F86F3C845BDAD8233E10E	Berry Pie	베리 파이
B749E89A41B2C1FC90ED06B2092AA391	Berry funny pun goes here	베리 재미있는 말장난이 여기로 갑니다
80DEEBCA4B1195829C3573836C1F59FF	Biomass (Capsule)	바이오매스(캡슐)
C4E436B146E715B23F93D48583D5DFAB	Biomass (Fertilizer)	바이오매스(비료)
